dpe_classe,consommation_kwh_m2,surface_m2,annee_construction,type_logement_immeuble,departement,code_postal,longitude,latitude,source_type
C,51.1,60.4,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,82.9,92,NA,appartement,69,69008,845597.22,6517077.08,Neuf
C,68.3,68,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,52.3,73.9,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,53.8,90.1,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,62.3,100.7,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,74,61.4,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,78,44.2,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,68.8,61.2,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,72.6,63.2,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,59.7,68.1,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,93.5,63.7,NA,appartement,69,69008,845612.08,6517073.54,Neuf
C,66.7,66.3,NA,appartement,69,69008,845557.57,6517085.8,Neuf
B,49.5,69.8,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,119.4,33.6,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,66.5,87.7,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,73.4,61.4,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,89.3,46.6,NA,appartement,69,69008,845612.08,6517073.54,Neuf
C,71.8,64.6,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,85.3,43.7,NA,appartement,69,69008,845612.08,6517073.54,Neuf
C,77.4,69,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,57.6,46,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,67.4,26.6,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,65.9,63.3,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,100.5,26.5,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,87.3,60.8,NA,appartement,69,69008,845612.08,6517073.54,Neuf
C,81.3,43.1,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,63.4,93.1,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,68.8,61.2,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,98.9,34.7,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,68.9,64.4,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,51.1,60,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,60.6,69.5,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,59.8,52.1,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,81.3,43.1,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,69.8,66.8,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,65.4,66.5,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,78.1,63,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,76.7,68,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,62.7,45.2,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,50.8,66.8,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,57.6,62.7,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,56,75.3,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,72,64.9,NA,appartement,69,69008,846748.82,6515699.75,Neuf
C,85.2,44.2,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,80.1,66.9,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,86.2,49.4,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,77.3,68.1,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,51.7,101.4,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,79,41.6,NA,appartement,69,69008,846748.82,6515699.75,Neuf
B,81.5,54.5,NA,appartement,69,69008,846500.08,6516557.7,Neuf
C,69.3,61.4,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,75,66.8,NA,appartement,69,69008,846748.82,6515699.75,Neuf
C,96.2,42.3,NA,appartement,69,69008,845597.22,6517077.08,Neuf
C,71,65.4,NA,appartement,69,69008,846748.82,6515699.75,Neuf
C,57.2,64,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,68.6,72.7,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,71.3,64.9,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,96.4,32.5,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,97,26.4,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,91.2,34.8,NA,appartement,69,69008,845612.08,6517073.54,Neuf
C,51.1,60.4,NA,appartement,69,69008,846039.95,6516649.15,Neuf
